cif,material_id,e_above_hull,formation_energy_per_atom
mp-10018.cif,mp-10018,0.0216390625,0.0216390625
mp-11107.cif,mp-11107,0.0,-3.737668289999997
mp-27972.cif,mp-27972,0.0,-2.494519163125
mp-30274.cif,mp-30274,0.0,-3.396185964166668
mp-27971.cif,mp-27971,0.0,-2.788094297499999
mp-30273.cif,mp-30273,0.0,-3.586422302500002
mp-24147.cif,mp-24147,0.0,-0.6843335983333341
mp-10597.cif,mp-10597,0.007668675000001001,0.007668675000001001
mp-124.cif,mp-124,0.0021267149999990003,0.0021267149999990003
mp-8566.cif,mp-8566,0.0,0.0
mp-18125.cif,mp-18125,0.0,-1.201867790454545
mp-567334.cif,mp-567334,0.0,-0.736950766538461
mp-558796.cif,mp-558796,0.029379677083333004,-0.359322325279947
mp-654937.cif,mp-654937,0.41785648891666904,-0.6433775220833331
mp-35109.cif,mp-35109,0.06199688422222101,-0.710917151944446
mp-1103642.cif,mp-1103642,0.07602962222222201,-0.523919851944447
mp-1192809.cif,mp-1192809,1.556993246071429,1.070804999404761
mp-732005.cif,mp-732005,0.553319284999995,-0.095571144916667
mp-29607.cif,mp-29607,0.0,-0.26484184576923103
mp-29717.cif,mp-29717,0.014560410317456002,-0.8251726423412681
mp-568386.cif,mp-568386,0.002081343529411,-0.36435031196078305
mp-568392.cif,mp-568392,0.0,-0.366431655490194
mp-1195193.cif,mp-1195193,0.0,-0.48019928584528504
mp-1199256.cif,mp-1199256,0.006591958281249001,-0.833353502786457
mp-510349.cif,mp-510349,0.025428711249999,-0.45155967283333204
mp-560328.cif,mp-560328,0.0,-0.48195274154135204
mp-1201221.cif,mp-1201221,0.063735405975997,-0.46249553871872706
mp-28729.cif,mp-28729,0.0035070769565180003,-0.5467989480797101
mp-729516.cif,mp-729516,0.03995779890909,-1.118627353939393
mp-733466.cif,mp-733466,0.45595734684027506,0.31730994855903
mp-1197575.cif,mp-1197575,0.0030302076458330004,-0.14634721281249402
mp-1080805.cif,mp-1080805,0.6471504663541651,0.536835336542969
mp-1183003.cif,mp-1183003,0.879637937232125,0.6387050524999941
mp-554873.cif,mp-554873,0.0,-2.510655715724636
mp-559071.cif,mp-559071,0.004958104166663001,-0.7483002703703701
mp-23558.cif,mp-23558,0.0,-0.9173112705555521
mp-558712.cif,mp-558712,0.004223702499997001,-0.913087568055555
mp-561113.cif,mp-561113,0.0012473537499970001,-0.9160639168055551
mp-556345.cif,mp-556345,0.019580985714285,-0.6550704147619041
mp-725087.cif,mp-725087,1.375624338499998,1.081002139666666
mp-574486.cif,mp-574486,0.268039843333333,0.268039843333338
mp-4691.cif,mp-4691,0.0,-1.089499118055555
mp-560717.cif,mp-560717,0.026753231388888,-1.062745886666667
mp-680067.cif,mp-680067,0.8971311421000001,-0.246439743583333
mp-1391.cif,mp-1391,0.0,-0.8383200133333321
mp-542298.cif,mp-542298,0.0,-1.229926874642856
mp-1196546.cif,mp-1196546,0.0,-1.599947565999999
mp-554988.cif,mp-554988,0.05755108907407001,-1.485430639074073
mp-983589.cif,mp-983589,0.036120807083332006,-1.20002395347222
mp-861942.cif,mp-861942,0.0,-0.550358512291666
mp-9900.cif,mp-9900,0.0,-0.46699392263888906
mp-567645.cif,mp-567645,0.23963775309027702,-0.116943085347222
mp-723002.cif,mp-723002,0.026502457499999,-0.7796728774275351
mp-1196868.cif,mp-1196868,0.3936339904,-0.541692375333332
mp-690687.cif,mp-690687,0.0,-1.046624786547618
mp-860963.cif,mp-860963,0.0,-1.449344143492063
mp-1202149.cif,mp-1202149,0.10656070559210201,-0.9421109829385961
